Date,spotPrice,year,spotPriceRolling,AveragePerYear,Year
2018-01-05 14:00:00,322.95,2018,,,2018
2018-01-05 15:00:00,329.14,2018,,,2018
2018-01-05 16:00:00,344.86,2018,,,2018
2018-01-05 17:00:00,366.48,2018,,,2018
2018-01-05 18:00:00,334.06,2018,,,2018
2018-01-05 19:00:00,316.86,2018,,,2018
2018-01-05 20:00:00,309.59,2018,,,2018
2018-01-05 21:00:00,307.04,2018,,,2018
2018-01-05 22:00:00,299.08,2018,,,2018
2018-01-05 23:00:00,291.22,2018,,,2018
2018-01-06 00:00:00,289.28,2018,,,2018
2018-01-06 01:00:00,280.44,2018,,,2018
2018-01-06 02:00:00,276.81,2018,,,2018
2018-01-06 03:00:00,275.04,2018,,,2018
2018-01-06 04:00:00,276.51,2018,,,2018
2018-01-06 05:00:00,281.91,2018,,,2018
2018-01-06 06:00:00,289.58,2018,,,2018
2018-01-06 07:00:00,298.12,2018,,,2018
2018-01-06 08:00:00,298.42,2018,,,2018
2018-01-06 09:00:00,303.52,2018,,,2018
2018-01-06 10:00:00,313.25,2018,,,2018
2018-01-06 11:00:00,322.78,2018,,,2018
2018-01-06 12:00:00,316.0,2018,,,2018
2018-01-06 13:00:00,312.27,2018,,,2018
2018-01-06 14:00:00,312.07,2018,,,2018
2018-01-06 15:00:00,324.64,2018,,,2018
2018-01-06 16:00:00,358.24,2018,,,2018
2018-01-06 17:00:00,358.83,2018,,,2018
2018-01-06 18:00:00,338.4,2018,,,2018
2018-01-06 19:00:00,313.64,2018,,,2018
2018-01-06 20:00:00,305.1,2018,,,2018
2018-01-06 21:00:00,301.76,2018,,,2018
2018-01-06 22:00:00,294.49,2018,,,2018
2018-01-06 23:00:00,285.16,2018,,,2018
2018-01-07 00:00:00,270.5,2018,,,2018
2018-01-07 01:00:00,254.02,2018,,,2018
2018-01-07 02:00:00,253.93,2018,,,2018
2018-01-07 03:00:00,256.57,2018,,,2018
2018-01-07 04:00:00,260.89,2018,,,2018
2018-01-07 05:00:00,266.19,2018,,,2018
2018-01-07 06:00:00,269.03,2018,,,2018
2018-01-07 07:00:00,271.58,2018,,,2018
2018-01-07 08:00:00,273.93,2018,,,2018
2018-01-07 09:00:00,277.86,2018,,,2018
2018-01-07 10:00:00,282.37,2018,,,2018
2018-01-07 11:00:00,283.94,2018,,,2018
2018-01-07 12:00:00,284.04,2018,,,2018
2018-01-07 13:00:00,277.27,2018,,,2018
2018-01-07 14:00:00,277.47,2018,,,2018
2018-01-07 15:00:00,280.7,2018,,,2018
2018-01-07 16:00:00,288.16,2018,,,2018
2018-01-07 17:00:00,302.87,2018,,,2018
2018-01-07 18:00:00,309.05,2018,,,2018
2018-01-07 19:00:00,305.22,2018,,,2018
2018-01-07 20:00:00,293.84,2018,,,2018
2018-01-07 21:00:00,283.84,2018,,,2018
2018-01-07 22:00:00,283.45,2018,,,2018
2018-01-07 23:00:00,270.4,2018,,,2018
2018-01-08 00:00:00,245.49,2018,,,2018
2018-01-08 01:00:00,235.0,2018,,,2018
2018-01-08 02:00:00,234.6,2018,,,2018
2018-01-08 03:00:00,249.91,2018,,,2018
2018-01-08 04:00:00,256.18,2018,,,2018
2018-01-08 05:00:00,274.23,2018,,,2018
2018-01-08 06:00:00,290.51,2018,,,2018
2018-01-08 07:00:00,321.01,2018,,,2018
2018-01-08 08:00:00,408.7,2018,,,2018
2018-01-08 09:00:00,417.52,2018,,,2018
2018-01-08 10:00:00,387.22,2018,,,2018
2018-01-08 11:00:00,351.81,2018,,,2018
2018-01-08 12:00:00,324.54,2018,,,2018
2018-01-08 13:00:00,322.78,2018,,,2018
2018-01-08 14:00:00,336.9,2018,,,2018
2018-01-08 15:00:00,372.8,2018,,,2018
2018-01-08 16:00:00,389.28,2018,,,2018
2018-01-08 17:00:00,394.87,2018,,,2018
2018-01-08 18:00:00,323.17,2018,,,2018
2018-01-08 19:00:00,305.61,2018,,,2018
2018-01-08 20:00:00,291.1,2018,,,2018
2018-01-08 21:00:00,283.64,2018,,,2018
2018-01-08 22:00:00,279.43,2018,,,2018
2018-01-08 23:00:00,275.5,2018,,,2018
2018-01-09 00:00:00,266.59,2018,,,2018
2018-01-09 01:00:00,248.14,2018,,,2018
2018-01-09 02:00:00,248.24,2018,,,2018
2018-01-09 03:00:00,260.8,2018,,,2018
2018-01-09 04:00:00,267.47,2018,,,2018
2018-01-09 05:00:00,277.18,2018,,,2018
2018-01-09 06:00:00,284.44,2018,,,2018
2018-01-09 07:00:00,309.46,2018,,,2018
2018-01-09 08:00:00,319.18,2018,,,2018
2018-01-09 09:00:00,316.53,2018,,,2018
2018-01-09 10:00:00,315.25,2018,,,2018
2018-01-09 11:00:00,317.12,2018,,,2018
2018-01-09 12:00:00,314.37,2018,,,2018
2018-01-09 13:00:00,312.02,2018,,,2018
2018-01-09 14:00:00,308.78,2018,,,2018
2018-01-09 15:00:00,308.09,2018,,,2018
2018-01-09 16:00:00,316.43,2018,,,2018
2018-01-09 17:00:00,322.51,2018,,,2018
2018-01-09 18:00:00,318.29,2018,,,2018
2018-01-09 19:00:00,309.07,2018,,,2018
2018-01-09 20:00:00,300.14,2018,,,2018
2018-01-09 21:00:00,295.83,2018,,,2018
2018-01-09 22:00:00,286.8,2018,,,2018
2018-01-09 23:00:00,280.23,2018,,,2018
2018-01-10 00:00:00,283.72,2018,,,2018
2018-01-10 01:00:00,278.12,2018,,,2018
2018-01-10 02:00:00,274.68,2018,,,2018
2018-01-10 03:00:00,270.94,2018,,,2018
2018-01-10 04:00:00,275.56,2018,,,2018
2018-01-10 05:00:00,296.5,2018,,,2018
2018-01-10 06:00:00,329.61,2018,,,2018
2018-01-10 07:00:00,432.51,2018,,,2018
2018-01-10 08:00:00,471.52,2018,,,2018
2018-01-10 09:00:00,471.52,2018,,,2018
2018-01-10 10:00:00,472.11,2018,,,2018
2018-01-10 11:00:00,469.56,2018,,,2018
2018-01-10 12:00:00,462.78,2018,,,2018
2018-01-10 13:00:00,433.88,2018,,,2018
2018-01-10 14:00:00,451.77,2018,,,2018
2018-01-10 15:00:00,460.22,2018,,,2018
2018-01-10 16:00:00,480.56,2018,,,2018
2018-01-10 17:00:00,510.05,2018,,,2018
2018-01-10 18:00:00,517.81,2018,,,2018
2018-01-10 19:00:00,441.65,2018,,,2018
2018-01-10 20:00:00,390.35,2018,,,2018
2018-01-10 21:00:00,351.92,2018,,,2018
2018-01-10 22:00:00,313.69,2018,,,2018
2018-01-10 23:00:00,298.17,2018,,,2018
2018-01-11 00:00:00,304.58,2018,,,2018
2018-01-11 01:00:00,294.95,2018,,,2018
2018-01-11 02:00:00,293.28,2018,,,2018
2018-01-11 03:00:00,294.36,2018,,,2018
2018-01-11 04:00:00,303.99,2018,,,2018
2018-01-11 05:00:00,326.48,2018,,,2018
2018-01-11 06:00:00,364.1,2018,,,2018
2018-01-11 07:00:00,504.55,2018,,,2018
2018-01-11 08:00:00,546.59,2018,,,2018
2018-01-11 09:00:00,541.28,2018,,,2018
2018-01-11 10:00:00,541.48,2018,,,2018
2018-01-11 11:00:00,535.98,2018,,,2018
2018-01-11 12:00:00,519.19,2018,,,2018
2018-01-11 13:00:00,460.35,2018,,,2018
2018-01-11 14:00:00,490.21,2018,,,2018
2018-01-11 15:00:00,513.49,2018,,,2018
2018-01-11 16:00:00,538.34,2018,,,2018
2018-01-11 17:00:00,553.76,2018,,,2018
2018-01-11 18:00:00,551.01,2018,,,2018
